Gen;Location;Block;Plantheight;Seedyield;Seedyield_bio;Biomass_bio;TKW_plot;TKW_bio;Spike_number;Sedimentation;Falling_number;Crude_protein
BRISONr_19;QLB;B2;90.00;42.94;396.64;1179.12;29.84;33.43;480.00;51.00;370.00;14.96
BRISONr_20;QLB;B2;75.00;39.29;280.88;1023.20;27.32;29.77;472.00;45.00;195.00;15.33
BRISONr_21;QLB;B2;76.00;50.27;308.64;887.68;28.15;28.17;596.00;46.00;373.00;15.49
BRISONr_22;QLB;B2;69.00;50.32;443.44;1321.84;25.26;27.60;536.00;45.00;235.00;14.47
BRISONr_23;QLB;B2;82.00;59.32;643.04;1612.00;33.14;37.27;640.00;49.00;240.00;14.71
BRISONr_24;QLB;B2;72.00;48.20;376.88;1184.24;27.92;30.87;608.00;48.00;147.00;14.63
BRISONr_25;QLB;B2;88.00;41.69;268.24;1006.08;36.92;33.93;480.00;52.00;290.00;15.64
BRISONr_26;QLB;B2;94.00;47.40;353.12;967.04;36.09;39.60;512.00;49.00;400.00;15.46
BRISONr_27;QLB;B2;77.00;37.81;343.76;1296.72;29.07;32.23;464.00;37.00;189.00;15.82
BRISONr_28;QLB;B2;70.00;30.55;265.52;1007.84;28.87;27.47;328.00;35.00;62.00;16.14
BRISONr_29;QLB;B2;64.00;51.51;297.60;1020.48;31.99;32.57;528.00;46.00;63.00;16.09
BRISONr_30;QLB;B2;80.00;41.82;374.96;1156.24;33.14;31.90;480.00;53.00;298.00;15.26
BRISONr_31;QLB;B2;67.00;47.09;293.04;854.96;33.43;32.20;604.00;44.00;285.00;14.92
BRISONr_32;QLB;B2;74.00;49.92;380.96;1101.36;34.31;36.87;472.00;46.00;112.00;14.82
BRISONr_33;QLB;B2;73.00;45.69;372.56;1172.72;31.79;29.83;500.00;32.00;124.00;15.10
BRISONr_34;QLB;B2;73.00;35.95;296.00;1096.64;30.64;31.63;240.00;60.00;366.00;16.32
BRISONr_35;QLB;B2;69.00;49.50;413.60;1105.28;37.21;37.30;420.00;48.00;151.00;15.26
BRISONr_36;QLB;B2;76.00;41.99;267.36;1009.44;30.10;30.80;700.00;50.00;273.00;15.55
BRISONr_37;QLB;B2;81.00;43.70;351.68;1197.28;25.86;27.40;592.00;54.00;390.00;17.75
BRISONr_38;QLB;B2;85.00;50.27;406.00;1065.28;26.34;29.17;588.00;51.00;439.00;15.05
BRISONr_39;QLB;B2;72.00;41.65;353.52;921.68;30.25;33.33;440.00;52.00;379.00;16.21
BRISONr_40;QLB;B2;81.00;35.67;265.76;975.84;31.91;33.77;524.00;41.00;228.00;15.14
BRISONr_41;QLB;B2;67.00;43.68;369.92;1191.28;29.04;29.27;612.00;43.00;213.00;14.92
BRISONr_42;QLB;B2;88.00;50.78;398.16;1220.80;29.41;29.73;416.00;40.00;118.00;14.65
BRISONr_43;QLB;B2;83.00;45.83;369.28;1189.12;31.76;36.43;460.00;31.00;168.00;15.73
BRISONr_44;QLB;B2;81.00;50.67;480.24;1449.44;31.39;34.37;568.00;45.00;319.00;15.60
BRISONr_45;QLB;B2;80.00;49.98;319.20;903.76;35.75;34.57;432.00;43.00;319.00;15.25
BRISONr_46;QLB;B2;81.00;48.55;363.84;1185.92;31.07;33.27;568.00;39.00;357.00;14.55
BRISONr_47;QLB;B2;82.00;54.19;364.96;1184.08;30.16;30.90;492.00;51.00;418.00;15.22
BRISONr_48;QLB;B2;84.00;52.27;268.56;959.20;30.70;32.00;584.00;49.00;278.00;15.38
BRISONr_49;QLB;B2;79.00;45.74;386.48;1163.92;27.35;27.00;528.00;52.00;320.00;16.29
BRISONr_50;QLB;B2;73.00;47.88;392.08;1266.00;33.26;34.53;464.00;51.00;282.00;14.93
BRISONr_51;QLB;B2;93.00;43.13;312.96;1105.68;34.06;32.33;384.00;45.00;167.00;14.66
BRISONr_52;QLB;B2;85.00;48.95;375.60;1148.32;27.35;31.60;592.00;48.00;394.00;15.07
BRISONr_53;QLB;B2;65.00;63.44;504.80;1593.52;28.49;30.23;488.00;51.00;119.00;14.78
BRISONr_54;QLB;B2;84.00;60.23;462.16;1502.48;28.38;30.67;572.00;51.00;307.00;14.25
BRISONr_55;QLB;B2;88.00;49.59;329.76;1084.24;29.95;29.90;512.00;49.00;353.00;14.64
BRISONr_56;QLB;B2;84.00;49.49;343.36;1115.60;28.44;30.60;472.00;53.00;175.00;16.75
BRISONr_57;QLB;B2;96.00;45.49;303.36;1059.28;28.90;31.03;404.00;48.00;337.00;12.19
BRISONr_58;QLB;B2;80.00;47.75;276.16;888.80;31.28;32.63;540.00;41.00;389.00;15.35
BRISONr_59;QLB;B2;79.00;42.83;446.48;1430.88;29.04;28.27;564.00;46.00;379.00;14.81
BRISONr_60;QLB;B2;78.00;52.20;461.68;1256.88;31.50;32.33;544.00;49.00;229.00;11.02
BRISONr_61;QLB;B2;79.00;47.76;349.36;986.32;35.20;36.93;420.00;43.00;227.00;10.85
BRISONr_62;QLB;B2;86.00;49.58;350.72;987.60;31.13;32.97;552.00;42.00;285.00;14.84
BRISONr_63;QLB;B2;69.00;37.56;277.68;1048.32;29.82;31.27;472.00;51.00;205.00;15.18
BRISONr_64;QLB;B2;83.00;61.14;298.32;833.52;32.91;31.50;584.00;54.00;420.00;15.05
BRISONr_65;QLB;B2;81.00;66.59;408.24;1171.04;30.27;35.10;560.00;42.00;419.00;14.29
BRISONr_66;QLB;B2;87.00;63.24;570.08;1858.32;29.41;33.37;620.00;47.00;378.00;14.55
BRISONr_67;QLB;B2;83.00;49.64;356.80;1039.52;31.13;30.50;544.00;32.00;145.00;14.43
BRISONr_68;QLB;B2;80.00;48.09;418.16;1301.92;32.48;31.97;400.00;43.00;222.00;16.54
BRISONr_69;QLB;B2;77.00;48.09;408.16;1306.00;29.15;33.27;648.00;34.00;184.00;14.92
BRISONr_70;QLB;B2;84.00;55.52;493.92;1767.04;29.78;30.70;544.00;51.00;305.00;16.23
BRISONr_71;QLB;B2;83.00;50.61;370.40;1099.04;33.63;36.60;564.00;47.00;332.00;14.77
BRISONr_72;QLB;B2;78.00;48.41;293.44;1006.24;27.46;27.33;552.00;46.00;159.00;15.76
BRISONr_73;QLB;B2;81.00;41.12;320.40;1138.16;32.25;34.17;436.00;44.00;229.00;15.29
BRISONr_74;QLB;B2;78.00;34.55;258.08;844.88;25.60;27.73;472.00;49.00;410.00;16.53
BRISONr_75;QLB;B2;86.00;56.89;280.24;784.32;29.04;29.80;728.00;51.00;259.00;15.57
BRISONr_76;QLB;B2;84.00;44.91;360.96;1309.92;32.48;35.50;512.00;52.00;364.00;15.52
BRISONr_77;QLB;B2;98.00;44.60;305.52;912.32;31.02;33.10;528.00;48.00;312.00;14.14
BRISONr_78;QLB;B2;79.00;36.84;327.76;1174.64;32.79;33.23;448.00;55.00;139.00;16.08
BRISONr_79;QLB;B2;92.00;48.84;367.76;1271.20;27.69;27.53;456.00;46.00;341.00;15.48
BRISONr_80;QLB;B2;83.00;55.87;385.28;1092.08;33.86;36.83;392.00;32.00;275.00;14.43
BRISONr_81;QLB;B2;91.00;50.73;357.36;1275.28;30.99;30.67;472.00;49.00;227.00;15.54
BRISONr_82;QLB;B2;81.00;46.52;415.92;1572.88;25.26;29.30;524.00;56.00;427.00;16.07
BRISONr_83;QLB;B2;94.00;62.10;405.44;1399.84;32.59;34.07;552.00;49.00;194.00;15.65
BRISONr_84;QLB;B2;81.00;44.01;331.52;1082.56;30.56;31.87;496.00;39.00;137.00;16.68
BRISONr_85;QLB;B2;78.00;47.98;344.48;1123.52;29.04;29.00;520.00;48.00;71.00;15.99
BRISONr_86;QLB;B2;74.00;46.13;456.48;1308.48;28.38;31.10;364.00;32.00;62.00;15.85
BRISONr_87;QLB;B2;93.00;47.76;366.40;1067.28;32.85;34.13;580.00;32.00;261.00;14.77
BRISONr_88;QLB;B2;81.00;42.36;388.96;1078.40;29.39;33.27;572.00;54.00;428.00;14.51
BRISONr_89;QLB;B2;85.00;39.83;307.28;1226.96;32.59;37.53;432.00;37.00;355.00;15.75
BRISONr_90;QLB;B2;84.00;39.50;236.24;741.44;36.61;34.67;464.00;51.00;342.00;16.79
BRISONr_91;QLB;B2;81.00;53.30;466.96;1502.48;29.67;32.70;568.00;53.00;417.00;16.25
BRISONr_92;QLB;B2;82.00;46.84;486.16;1417.36;32.22;31.27;628.00;35.00;401.00;15.47
BRISONr_93;QLB;B2;75.00;45.05;388.64;1165.76;32.45;35.07;648.00;49.00;319.00;16.37
BRISONr_94;QLB;B2;69.00;32.15;188.64;705.60;25.86;26.73;504.00;37.00;187.00;16.35
BRISONr_95;QLB;B2;75.00;41.35;279.92;1056.72;26.43;27.43;516.00;46.00;173.00;15.06
BRISONr_96;QLB;B2;83.00;52.55;488.56;1410.48;27.58;32.27;536.00;50.00;288.00;15.32
BRISONr_97;QLB;B2;92.00;42.01;333.68;1029.12;30.79;32.00;508.00;39.00;187.00;15.69
BRISONr_98;QLB;B2;93.00;29.06;209.76;751.52;30.44;30.27;420.00;60.00;284.00;17.26
BRISONr_99;QLB;B2;84.00;38.03;285.20;1115.20;37.99;41.80;228.00;51.00;168.00;14.39
BRISONr_100;QLB;B2;84.00;48.59;431.76;1319.04;31.30;34.33;612.00;50.00;248.00;14.98
BRISONr_101;QLB;B2;77.00;48.16;333.36;1166.64;31.88;33.50;528.00;55.00;304.00;17.48
BRISONr_102;QLB;B2;97.00;34.45;282.24;925.12;33.69;37.17;632.00;55.00;286.00;15.20
BRISONr_103;QLB;B2;92.00;44.12;319.92;1127.36;29.82;30.77;564.00;56.00;124.00;16.53
BRISONr_104;QLB;B2;83.00;45.00;305.60;834.72;31.56;32.37;520.00;51.00;224.00;15.38
BRISONr_105;QLB;B2;86.00;52.53;419.12;1220.96;30.04;32.27;532.00;48.00;267.00;15.22
BRISONr_106;QLB;B2;88.00;39.70;212.08;707.20;35.15;40.37;632.00;29.00;125.00;13.19
BRISONr_107;QLB;B2;84.00;38.09;304.24;1162.24;34.23;31.83;432.00;47.00;282.00;14.84
BRISONr_108;QLB;B2;90.00;31.45;294.24;1067.92;34.86;33.10;412.00;34.00;101.00;14.64
BRISONr_109;QLB;B2;79.00;31.23;276.48;975.84;36.72;32.97;516.00;61.00;331.00;17.27
BRISONr_110;QLB;B2;87.00;36.49;302.80;1155.76;27.92;31.27;504.00;54.00;273.00;16.25
BRISONr_111;QLB;B2;68.00;44.19;386.32;1502.40;28.12;28.37;536.00;53.00;371.00;16.49
BRISONr_112;QLB;B2;91.00;43.34;301.60;1128.88;32.53;31.20;496.00;55.00;352.00;17.15
BRISONr_113;QLB;B2;72.00;36.80;244.72;880.08;29.44;31.07;460.00;58.00;428.00;15.96
BRISONr_114;QLB;B2;90.00;37.25;177.68;849.60;29.15;30.33;504.00;37.00;208.00;15.43
BRISONr_115;QLB;B2;93.00;50.99;490.88;1656.24;26.26;27.33;448.00;38.00;399.00;15.81
BRISONr_116;QLB;B2;95.00;53.07;473.36;1465.44;31.79;31.07;544.00;50.00;358.00;15.42
BRISONr_117;QLB;B2;84.00;43.65;330.88;1190.64;32.48;35.67;472.00;56.00;282.00;16.13
BRISONr_118;QLB;B2;90.00;50.43;423.68;1379.44;36.75;35.13;620.00;49.00;236.00;16.12
BRISONr_119;QLB;B2;85.00;44.00;310.96;894.16;30.73;28.27;528.00;53.00;446.00;17.26
BRISONr_120;QLB;B2;84.00;26.12;233.60;1069.28;29.21;32.47;376.00;52.00;265.00;16.80
BRISONr_121;QLB;B2;99.00;43.87;272.48;850.00;32.22;33.87;472.00;53.00;202.00;16.25
BRISONr_122;QLB;B2;79.00;50.11;422.56;1406.24;26.63;29.97;572.00;52.00;416.00;16.93
BRISONr_123;QLB;B2;82.00;21.44;187.44;674.08;23.59;25.20;288.00;36.00;317.00;15.12
BRISONr_124;QLB;B2;88.00;42.87;262.56;846.88;29.39;32.43;688.00;53.00;128.00;16.03
BRISONr_125;QLB;B2;79.00;42.57;275.12;959.52;26.60;26.07;476.00;54.00;209.00;16.47
BRISONr_126;QLB;B2;79.00;48.89;390.08;1255.28;27.78;28.13;620.00;51.00;304.00;15.65
BRISONr_127;QLB;B2;89.00;45.13;293.52;834.00;31.45;30.37;568.00;48.00;353.00;16.53
BRISONr_128;QLB;B2;92.00;43.27;358.88;1030.00;32.08;35.20;512.00;34.00;308.00;15.35
BRISONr_129;QLB;B2;83.00;52.54;339.28;989.52;27.63;29.40;508.00;51.00;398.00;16.47
BRISONr_130;QLB;B2;93.00;40.91;204.40;801.84;31.11;28.57;524.00;40.00;297.00;16.34
BRISONr_131;QLB;B2;79.00;27.94;240.00;845.44;29.93;33.20;416.00;46.00;247.00;15.54
BRISONr_132;QLB;B2;76.00;43.34;275.20;807.28;27.95;28.07;512.00;50.00;435.00;14.69
BRISONr_133;QLB;B2;76.00;30.97;263.04;838.40;26.17;26.20;384.00;64.00;255.00;18.85
BRISONr_134;QLB;B2;81.00;49.85;221.84;797.76;29.90;31.40;648.00;55.00;387.00;16.67
BRISONr_135;QLB;B2;77.00;48.46;409.44;1285.84;29.24;31.00;528.00;56.00;349.00;15.95
BRISONr_136;QLB;B2;84.00;50.75;241.28;778.08;35.41;37.97;424.00;56.00;290.00;15.79
BRISONr_137;QLB;B2;85.00;33.25;198.40;738.32;28.23;29.47;572.00;52.00;207.00;16.47
BRISONr_138;QLB;B2;80.00;37.49;301.84;982.88;33.57;33.90;580.00;59.00;261.00;16.68
BRISONr_139;QLB;B2;92.00;46.12;292.24;1004.24;28.47;31.40;584.00;37.00;373.00;14.59
BRISONr_140;QLB;B2;92.00;37.65;203.36;696.80;30.53;30.50;528.00;40.00;191.00;17.20
BRISONr_141;QLB;B2;96.00;56.95;319.20;977.60;35.06;37.57;548.00;56.00;302.00;15.50
BRISONr_142;QLB;B2;88.00;41.82;278.48;883.92;34.89;36.27;532.00;57.00;190.00;17.09
BRISONr_143;QLB;B2;101.00;48.55;297.44;1006.88;33.34;32.93;668.00;52.00;293.00;16.01
BRISONr_144;QLB;B2;94.00;40.66;333.84;992.72;32.83;35.67;456.00;37.00;165.00;15.56
BRISONr_145;QLB;B2;84.00;30.31;250.48;963.68;33.45;33.30;444.00;59.00;387.00;17.95
BRISONr_146;QLB;B2;99.00;50.05;312.80;921.36;36.52;39.43;772.00;58.00;206.00;15.12
BRISONr_147;QLB;B2;85.00;41.47;298.80;984.24;36.44;37.43;564.00;56.00;276.00;15.82
BRISONr_148;QLB;B2;91.00;41.14;282.00;1072.72;35.35;36.13;520.00;53.00;282.00;14.68
BRISONr_149;QLB;B2;90.00;53.98;339.76;989.04;29.01;28.50;484.00;57.00;320.00;16.41
BRISONr_150;QLB;B2;83.00;38.69;260.80;956.00;27.75;29.23;612.00;43.00;364.00;15.65
BRISONr_151;QLB;B2;75.00;49.76;282.80;934.48;29.24;32.40;544.00;53.00;361.00;16.38
BRISONr_152;QLB;B2;92.00;35.32;165.28;680.48;28.96;28.77;436.00;38.00;247.00;16.58
BRISONr_153;QLB;B2;85.00;40.14;302.32;911.60;31.30;32.17;580.00;57.00;65.00;16.74
BRISONr_154;QLB;B2;94.00;52.83;377.76;1161.52;28.32;26.43;672.00;56.00;438.00;16.62
BRISONr_155;QLB;B2;79.00;38.48;220.88;832.48;32.85;32.93;604.00;56.00;315.00;16.51
BRISONr_156;QLB;B2;100.00;36.24;340.08;1228.16;28.96;27.90;500.00;66.00;375.00;17.27
BRISONr_157;QLB;B2;88.00;51.49;374.88;1282.24;28.35;29.67;584.00;54.00;237.00;15.90
BRISONr_158;QLB;B2;97.00;44.21;267.12;1158.32;26.46;25.87;596.00;39.00;261.00;16.72
BRISONr_159;QLB;B2;84.00;37.44;308.08;1064.32;29.04;28.67;556.00;40.00;280.00;14.57
BRISONr_160;QLB;B2;90.00;18.67;239.60;770.48;30.70;35.13;240.00;51.00;322.00;15.97
BRISONr_161;QLB;B2;83.00;34.39;234.16;697.76;29.95;32.17;496.00;54.00;237.00;17.07
BRISONr_162;QLB;B2;81.00;46.82;293.44;986.48;33.88;30.03;516.00;48.00;278.00;16.02
BRISONr_163;QLB;B2;84.00;23.80;195.84;781.60;35.60;37.27;324.00;44.00;224.00;15.66
BRISONr_164;QLB;B2;95.00;41.80;280.40;942.64;28.49;30.17;556.00;39.00;340.00;16.39
BRISONr_165;QLB;B2;95.00;36.96;300.88;942.72;32.28;28.93;592.00;53.00;240.00;16.52
BRISONr_166;QLB;B2;94.00;38.38;247.60;809.28;34.40;32.30;476.00;44.00;235.00;16.37
BRISONr_167;QLB;B2;110.00;27.31;134.32;611.36;39.07;35.83;512.00;63.00;248.00;18.73
BRISONr_168;QLB;B2;99.00;33.84;128.24;574.24;31.76;31.93;448.00;42.00;355.00;16.88
BRISONr_169;QLB;B2;84.00;29.79;146.88;730.08;34.23;34.47;440.00;45.00;202.00;16.62
BRISONr_170;QLB;B2;84.00;39.16;234.64;700.80;19.09;21.27;660.00;58.00;209.00;16.21
BRISONr_171;QLB;B2;109.00;46.34;317.68;837.76;26.83;29.47;600.00;37.00;149.00;14.00
BRISONr_172;QLB;B2;118.00;21.55;132.64;720.40;29.84;34.30;364.00;41.00;351.00;14.25
BRISONr_173;QLB;B2;80.00;27.23;213.20;1050.64;30.73;35.50;288.00;40.00;123.00;16.20
BRISONr_174;QLB;B2;84.00;30.72;265.44;1101.44;32.22;34.30;488.00;42.00;237.00;15.43
BRISONr_175;QLB;B2;104.00;36.43;259.28;912.64;30.62;35.03;684.00;30.00;453.00;13.84
BRISONr_176;QLB;B2;95.00;43.49;247.76;862.00;29.39;33.03;656.00;51.00;263.00;15.87
BRISONr_177;QLB;B2;67.00;53.16;386.32;1070.80;30.90;34.43;804.00;48.00;180.00;14.41
BRISONr_178;QLB;B2;60.00;52.69;405.76;1112.40;25.26;27.43;808.00;48.00;391.00;15.13
BRISONr_179;QLB;B2;71.00;44.86;329.36;880.96;28.47;26.20;564.00;49.00;146.00;15.36
BRISONr_180;QLB;B2;70.00;64.30;399.12;1131.44;28.84;29.13;688.00;56.00;398.00;15.46
BRISONr_181;QLB;B2;77.00;60.54;428.08;1180.00;27.75;26.50;644.00;43.00;263.00;14.84
BRISONr_182;QLB;B2;64.00;40.88;314.00;832.40;33.57;34.43;568.00;56.00;144.00;15.54
BRISONr_183;QLB;B2;72.00;52.39;365.84;966.48;26.94;27.87;760.00;55.00;540.00;14.03
BRISONr_184;QLB;B2;82.00;33.93;297.20;863.92;26.29;27.17;440.00;65.00;348.00;15.32
BRISONr_185;QLB;B2;66.00;61.88;550.72;1155.60;27.52;33.40;744.00;35.00;123.00;12.79
BRISONr_186;QLB;B2;53.00;53.66;419.44;1166.24;27.32;26.83;748.00;38.00;188.00;14.28
BRISONr_187;QLB;B2;84.00;41.86;321.76;1160.08;23.37;19.57;680.00;48.00;346.00;13.80
BRISONr_188;QLB;B2;88.00;48.12;336.80;970.16;30.56;26.80;592.00;46.00;321.00;16.08
BRISONr_189;QLB;B2;80.00;55.36;470.56;1234.88;27.29;28.50;768.00;51.00;444.00;15.95
BRISONr_190;QLB;B2;68.00;35.07;344.48;780.88;24.57;31.87;492.00;36.00;101.00;15.58
BRISONr_191;QLB;B2;65.00;74.05;538.72;1290.40;29.95;29.27;628.00;34.00;165.00;12.96
BRISONr_192;QLB;B2;68.00;36.39;247.20;671.52;25.57;29.63;544.00;45.00;194.00;14.42
BRISONr_193;QLB;B2;87.00;54.63;367.12;1057.12;25.28;25.87;684.00;41.00;77.00;14.29
BRISONr_194;QLB;B2;72.00;27.58;243.76;736.16;21.96;26.33;440.00;53.00;215.00;16.72
BRISONr_195;QLB;B2;73.00;43.93;300.00;1134.08;28.84;28.87;552.00;45.00;140.00;14.76
BRISONr_196;QLB;B2;77.00;20.49;116.88;697.20;24.60;23.37;504.00;39.00;184.00;13.06
BRISONr_197;QLB;B2;64.00;46.40;398.72;1026.64;33.45;36.97;744.00;59.00;236.00;13.79
BRISONr_198;QLB;B2;93.00;32.77;285.92;853.28;29.44;31.40;472.00;43.00;62.00;15.17
BRISONr_199;QLB;B2;72.00;52.48;416.08;1067.52;26.55;28.70;372.00;49.00;174.00;15.14
BRISONr_200;QLB;B2;78.00;37.44;320.32;895.84;29.18;29.33;540.00;45.00;284.00;14.21
BRISONr_201;QLB;B2;74.00;30.72;275.84;1047.52;20.27;22.53;608.00;31.00;152.00;15.01
BRISONr_202;QLB;B2;70.00;73.35;550.24;1511.04;27.92;32.17;676.00;40.00;231.00;13.67
BRISONr_203;QLB;B2;86.00;40.53;321.84;959.60;30.85;32.17;492.00;56.00;271.00;14.19
BRISONr_204;QLB;B2;78.00;48.83;365.04;1298.40;26.32;27.83;804.00;49.00;236.00;15.37
BRISONr_205;QLB;B2;88.00;44.46;386.00;1096.72;22.85;25.90;528.00;52.00;211.00;15.62
BRISONr_206;QLB;B2;71.00;31.81;286.40;882.96;28.98;31.53;;43.00;271.00;13.52
BRISONr_207;QLB;B2;68.00;55.78;459.36;1196.56;29.44;32.70;412.00;55.00;277.00;15.95
BRISONr_208;QLB;B2;94.00;52.44;319.76;868.72;35.72;36.83;520.00;56.00;342.00;15.30
BRISONr_209;QLB;B2;83.00;47.74;304.00;776.24;28.53;28.90;544.00;53.00;443.00;14.50
BRISONr_210;QLB;B2;91.00;30.48;247.28;819.36;39.19;46.87;364.00;52.00;163.00;13.94
BRISONr_211;QLB;B2;89.00;39.14;287.36;688.80;28.35;25.53;484.00;49.00;159.00;14.96
BRISONr_212;QLB;B2;73.00;33.24;237.68;712.88;36.49;33.90;512.00;41.00;371.00;14.65
BRISONr_213;QLB;B2;87.00;40.95;341.36;985.04;30.96;33.13;552.00;52.00;241.00;15.66
BRISONr_214;QLB;B2;69.00;58.30;360.80;1143.04;25.69;28.50;576.00;50.00;275.00;16.11
BRISONr_215;QLB;B2;85.00;57.10;509.28;1282.64;27.86;31.27;540.00;37.00;316.00;13.85
BRISONr_216;QLB;B2;73.00;61.56;427.92;1232.32;26.23;27.20;812.00;41.00;185.00;15.15
BRISONr_217;QLB;B2;85.00;52.29;297.36;688.56;30.10;31.13;568.00;39.00;239.00;13.52
BRISONr_218;QLB;B2;75.00;54.05;333.28;811.52;29.15;28.60;608.00;45.00;143.00;15.17
BRISONr_219;QLB;B2;73.00;51.53;342.32;998.96;28.44;27.47;716.00;51.00;272.00;15.10
BRISONr_220;QLB;B2;70.00;54.50;451.68;1243.84;28.87;30.13;544.00;32.00;151.00;13.53
BRISONr_1;QLB;B1;60.00;56.81;371.68;1009.60;29.15;30.70;592.00;42.00;340.00;15.14
BRISONr_2;QLB;B1;60.00;51.77;355.28;1016.96;24.85;26.67;696.00;44.00;120.00;15.39
BRISONr_3;QLB;B1;48.00;42.68;165.52;668.16;30.73;29.83;620.00;54.00;235.00;15.90
BRISONr_4;QLB;B1;60.00;47.66;297.28;923.68;29.70;32.90;496.00;36.00;111.00;14.85
BRISONr_5;QLB;B1;63.00;48.09;304.88;801.76;34.86;38.53;420.00;41.00;467.00;14.70
BRISONr_6;QLB;B1;68.00;59.74;366.08;1034.80;25.77;27.53;700.00;49.00;352.00;15.06
BRISONr_7;QLB;B1;58.00;55.56;354.24;893.20;30.99;30.57;572.00;37.00;181.00;14.08
BRISONr_8;QLB;B1;67.00;53.97;401.36;1218.08;29.67;28.80;596.00;34.00;231.00;15.53
BRISONr_9;QLB;B1;61.00;48.95;408.88;1328.16;29.13;31.90;612.00;49.00;501.00;14.91
BRISONr_10;QLB;B1;68.00;53.48;440.08;1217.60;23.99;25.30;620.00;51.00;356.00;14.76
BRISONr_11;QLB;B1;78.00;48.39;322.16;1125.20;28.90;29.77;;46.00;259.00;12.58
BRISONr_12;QLB;B1;72.00;56.53;292.16;929.52;32.88;33.70;652.00;59.00;419.00;16.27
BRISONr_13;QLB;B1;56.00;47.83;350.24;1014.00;27.06;29.77;620.00;47.00;180.00;15.92
BRISONr_14;QLB;B1;53.00;43.19;315.52;946.56;30.76;32.20;512.00;37.00;395.00;15.16
BRISONr_15;QLB;B1;55.00;42.12;255.68;1180.16;29.87;32.20;560.00;50.00;179.00;15.31
BRISONr_16;QLB;B1;58.00;48.36;270.40;771.92;33.22;34.23;624.00;37.00;260.00;16.39
BRISONr_17;QLB;B1;56.00;43.97;311.20;877.44;30.73;30.47;456.00;44.00;256.00;15.09
BRISONr_18;QLB;B1;63.00;52.09;364.88;1069.84;32.57;35.77;596.00;43.00;294.00;14.27
BRISONr_19;QLB;B1;61.00;45.11;301.44;920.48;32.65;31.73;576.00;48.00;336.00;15.58
BRISONr_20;QLB;B1;51.00;45.50;241.92;814.96;26.17;27.77;568.00;47.00;131.00;16.42
BRISONr_21;QLB;B1;66.00;53.19;356.16;981.68;28.87;30.30;588.00;48.00;422.00;15.26
BRISONr_22;QLB;B1;66.00;55.54;361.36;1094.48;24.08;25.67;620.00;44.00;255.00;15.03
BRISONr_23;QLB;B1;72.00;51.13;431.60;1288.64;30.44;34.97;588.00;53.00;245.00;16.46
BRISONr_24;QLB;B1;66.00;50.30;318.16;827.92;29.73;30.57;612.00;47.00;143.00;14.49
BRISONr_25;QLB;B1;72.00;53.42;370.88;1271.20;32.42;34.67;580.00;52.00;424.00;15.04
BRISONr_26;QLB;B1;78.00;60.43;273.76;850.80;34.49;36.30;588.00;48.00;413.00;14.79
BRISONr_27;QLB;B1;65.00;44.57;336.48;1275.04;27.67;29.03;600.00;39.00;272.00;16.37
BRISONr_28;QLB;B1;53.00;47.47;278.88;806.32;25.14;29.23;592.00;32.00;82.00;16.12
BRISONr_29;QLB;B1;57.00;52.35;312.48;953.44;33.08;29.40;524.00;46.00;66.00;15.84
BRISONr_30;QLB;B1;63.00;54.20;369.76;1070.32;31.30;32.23;492.00;50.00;287.00;15.40
BRISONr_31;QLB;B1;54.00;56.93;359.04;1041.44;32.57;30.00;568.00;50.00;359.00;14.99
BRISONr_32;QLB;B1;67.00;56.63;408.88;1208.32;32.88;34.37;484.00;47.00;156.00;14.88
BRISONr_33;QLB;B1;57.00;47.17;316.32;894.08;28.75;28.23;560.00;33.00;98.00;14.50
BRISONr_34;QLB;B1;64.00;48.09;242.88;866.40;30.90;32.97;624.00;56.00;356.00;16.13
BRISONr_35;QLB;B1;60.00;52.76;409.04;1168.64;31.93;36.47;528.00;47.00;137.00;15.29
BRISONr_36;QLB;B1;56.00;49.93;320.00;990.16;32.31;31.63;568.00;50.00;336.00;15.03
BRISONr_37;QLB;B1;63.00;43.83;339.44;901.76;28.64;30.43;464.00;50.00;471.00;16.47
BRISONr_38;QLB;B1;69.00;49.80;318.88;893.44;27.41;29.07;616.00;53.00;474.00;15.39
BRISONr_39;QLB;B1;61.00;53.69;504.88;1532.16;30.13;31.53;572.00;50.00;477.00;15.65
BRISONr_40;QLB;B1;66.00;52.89;343.28;1147.52;32.71;30.57;556.00;45.00;200.00;15.42
BRISONr_41;QLB;B1;62.00;49.38;456.80;1524.88;25.89;25.27;736.00;49.00;224.00;15.30
BRISONr_42;QLB;B1;65.00;50.27;357.12;898.80;28.75;30.70;536.00;37.00;96.00;15.17
BRISONr_43;QLB;B1;58.00;41.54;312.16;879.44;35.15;33.40;556.00;35.00;139.00;15.53
BRISONr_44;QLB;B1;55.00;45.16;276.16;912.00;30.44;31.03;636.00;39.00;228.00;14.97
BRISONr_45;QLB;B1;69.00;55.96;335.52;979.04;33.97;36.37;564.00;42.00;270.00;14.28
BRISONr_46;QLB;B1;71.00;66.56;456.64;1522.56;29.35;30.80;536.00;41.00;244.00;14.08
BRISONr_47;QLB;B1;68.00;54.43;399.60;1118.40;30.30;28.73;552.00;50.00;456.00;15.07
BRISONr_48;QLB;B1;62.00;53.59;321.52;960.16;31.45;31.40;532.00;50.00;212.00;15.53
